name,team,pos,adp
Max Christie,DAL,SG SF,
Zaccharie Risacher,DAL,SF PF,
Isaiah Joe,DET,SG SF,
Keldon Johnson,SA,SF PF,
Kingston Flemings,ATL,PG,
Tre Johnson,WAS,PG SG SF,
Sam Merrill,CLE,SG SF,
Tim Hardaway Jr.,MIA,SG SF,
Brice Sensabaugh,UTA,SG SF PF,
Bronny James Jr.,LAL,PG SG,
Bradley Beal,LAC,SG SF,
Terrence Shannon Jr.,MIN,SG SF,
Bub Carrington,WAS,PG SG,
Taylor Hendricks,MEM,PF C,
Daniss Jenkins,DET,PG SG,
Dennis Schröder,CHA,PG SG,
Oso Ighodaro,PHO,C,
Walter Clayton Jr.,MEM,PG SG,
Obi Toppin,IND,SF PF,
Cameron Carr,LAL,SG,
Dylan Cardwell,SAC,PF C,
Gary Payton II,GS,SG SF,
Miles McBride,NY,PG SG,
Marcus Smart,HOU,PG SG,
Ousmane Dieng,MIL,SF PF,
Yanic Konan Niederhauser,LAC,C,
Will Riley,WAS,SF PF,
Luguentz Dort,ATL,SG SF,
Nikola Jovic,MIA,PF C,
Jaylin Williams,OKC,PF C,
Jalen Smith,CHI,PF C,
Dru Smith,MIA,PG SG,
Zach Collins,CHI,C,
Sergio de Larrea,DAL,PG,
Craig Porter Jr.,CLE,PG SG,
Harrison Barnes,SA,PF,
Jock Landale,ATL,C,
Dailyn Swain,CHI,SF,
Jose Alvarado,NY,PG,
Kentavious Caldwell-Pope,PHI,SG SF,
Isaiah Jackson,LAC,C,
Marvin Bagley III,DEN,PF C,
Steven Adams,HOU,C,
Quinten Post,MEM,C,
Khris Middleton,WAS,SF PF,
Moritz Wagner,BKN,C,
Isaac Okoro,CHI,SG SF,
Matisse Thybulle,LAL,SG SF,
Olivier-Maxence Prosper,MEM,SF PF C,
Jordan Goodwin,PHO,PG SG,
Cam Spencer,MEM,PG SG,
Keon Ellis,BKN,SG SF,
Ron Holland II,DET,SF PF,
Precious Achiuwa,SAC,PF C,
